kepid,true_label,snr_tier,koi_model_snr,koi_period,kepoi_name,koi_disposition,score,error,koi_depth,eb_flag,pred,pred_final
7877496,1,high,1654.9,1.72086129,K00202.01,CONFIRMED,0.0089137926697731,,10184.5,False,0,0
12019440,1,high,1586.2,3.24325988,K00186.01,CONFIRMED,0.007313983514904976,,16450.9,False,0,0
5357901,1,high,1549.0,3.797018259,K00188.01,CONFIRMED,0.0213889442384243,,14431.2,False,0,0
6849046,1,high,1457.8,4.225384543,K00201.01,CONFIRMED,0.2547456324100494,,7563.0,False,0,0
10019708,1,high,1429.9,3.268695042,K00199.01,CONFIRMED,0.1411415785551071,,10091.4,False,0,0
11414511,1,high,1406.8,2.816504904,K00767.01,CONFIRMED,0.022844120860099792,,16813.7,False,0,0
5794240,1,high,1341.6,2.455240626,K00254.01,CONFIRMED,0.051208119839429855,,36911.9,False,0,0
9595827,1,high,1315.8,3.905081685,K00217.01,CONFIRMED,0.3235197961330414,,21340.5,False,0,0
11502867,1,high,1287.4,3.217518511,K00195.01,CONFIRMED,0.010100947692990303,,14319.4,False,0,0
3749365,1,high,1252.5,1.97376085,K01176.01,CONFIRMED,0.1343782693147659,,30222.4,False,0,0
7950644,1,high,1245.7,10.290994129,K00192.01,CONFIRMED,0.055991921573877335,,9655.7,False,0,0
2581316,1,high,1244.4,217.83184293,K03681.01,CONFIRMED,0.09129852056503296,,9148.7,False,0,0
9818381,1,high,1225.3,3.024092505,K00135.01,CONFIRMED,0.010269815102219582,,7765.0,False,0,0
7529266,1,high,1208.1,8.600153929,K00680.01,CONFIRMED,0.08625218272209167,,4510.2,False,0,0
10619192,1,high,1176.6,1.485710994,K00203.01,CONFIRMED,0.00013862302876077592,,20823.9,False,0,0
9166862,1,high,1173.9,3.855603916,K00931.01,CONFIRMED,0.00901520811021328,,16652.7,False,0,0
11391018,1,high,1126.2,30.360445359,K00189.01,CONFIRMED,0.06242749094963074,,21124.7,False,0,0
6462863,1,high,1118.9,22.342964828,K00094.01,CONFIRMED,0.02617354318499565,,5612.8,False,0,0
4570949,1,high,1109.7,1.544928892,K01658.01,CONFIRMED,0.0013779778964817524,,5817.3,False,0,0
11449844,1,high,1077.8,38.47876629,K00125.01,CONFIRMED,0.000373203307390213,,23530.0,False,0,0
7849854,1,high,1072.1,2.052349884,K00897.01,CONFIRMED,0.006891075987368822,,14280.6,False,0,0
4742414,1,high,1055.9,15.458056682,K00631.01,CONFIRMED,0.024451741948723793,,4253.2,False,0,0
9115800,1,high,1022.2,4.454194254,K00421.01,CONFIRMED,0.1943037062883377,,16041.5,False,0,0
3935914,1,high,1009.3,1.594745374,K00809.01,CONFIRMED,0.002904770663008094,,15044.5,False,0,0
5812701,1,high,915.7,17.855221681,K00012.01,CONFIRMED,0.013627870939671993,,9065.2,False,0,0
6522242,1,high,907.8,41.408316686,K00855.01,CONFIRMED,0.05406586080789566,,22838.9,False,0,0
2987027,1,high,871.4,17.276296682,K00197.01,CONFIRMED,0.4113511145114898,,10458.0,False,0,0
10748390,1,high,862.3,4.887803076,K00003.01,CONFIRMED,0.304676204919815,,4315.8,False,0,0
6046540,1,high,856.3,7.340714946,K00200.01,CONFIRMED,0.06414779275655746,,8510.5,False,0,0
5972334,1,high,812.6,15.358767771,K00191.01,CONFIRMED,0.2806500494480133,,14638.1,False,0,0
8711794,1,mid,198.3,8.981014925,K00105.01,CONFIRMED,0.023842358961701393,,1059.3,False,0,0
5796675,1,mid,195.9,16.080657264,K00652.01,CONFIRMED,0.002074477029964328,,3076.0,False,0,0
11401755,1,mid,194.9,16.23191704,K00277.01,CONFIRMED,0.00039243814535439014,,501.6,False,0,0
5088536,1,mid,190.3,27.50871575,K00282.01,CONFIRMED,0.00971514917910099,,639.2,False,0,0
11904151,1,mid,189.5,0.837491225,K00072.01,CONFIRMED,0.019282907247543335,,190.4,False,0,0
5866724,1,mid,186.7,5.859935955,K00085.01,CONFIRMED,9.547262015985325e-05,,322.8,False,0,0
4914423,1,mid,184.6,179.609803,K00108.02,CONFIRMED,0.2680219411849975,,1273.0,False,0,0
8565266,1,mid,183.1,6.412512953,K00578.01,CONFIRMED,0.1001328080892562,,1156.4,False,0,0
5437945,1,mid,181.0,440.7843755,K03791.01,CONFIRMED,0.008747434243559837,,2579.0,False,0,0
8478994,1,mid,179.5,39.79220077,K00245.01,CONFIRMED,0.008834121748805046,,610.4,False,0,0
5084942,1,mid,178.6,3.105507835,K00161.01,CONFIRMED,0.1740785241127014,,904.6,False,0,0
5735762,1,mid,178.0,9.673958488,K00148.02,CONFIRMED,0.09542854130268097,,952.7,False,0,0
7434875,1,mid,175.2,9.439459486,K00884.01,CONFIRMED,0.0063493219204247,,3036.1,False,0,0
8022489,1,mid,175.2,197.5111484,K02674.01,CONFIRMED,0.017655963078141212,,2575.6,False,0,0
11517719,1,mid,171.4,2.495780169,K01416.01,CONFIRMED,3.226239719822388e-09,,25070.0,False,0,0
6786037,1,mid,171.0,127.905412,K00564.02,CONFIRMED,0.032355841249227524,,4020.6,False,0,0
3217264,1,mid,171.0,29.19899219,K00401.01,CONFIRMED,0.3365200161933899,,2047.2,False,0,0
11518142,1,mid,170.1,240.7990472,K03762.01,CONFIRMED,0.004963497631251812,,5022.9,False,0,0
11250587,1,mid,168.3,7.256962446,K00107.01,CONFIRMED,0.04845362901687622,,463.2,False,0,0
6196457,1,mid,167.6,13.74883059,K00285.01,CONFIRMED,0.0005284395883791149,,425.9,False,0,0
8026752,1,mid,167.3,4.286866229,K00240.01,CONFIRMED,0.039267003536224365,,1321.9,False,0,0
9579641,1,mid,166.7,5.412203927,K00115.01,CONFIRMED,0.005864368751645088,,601.6,False,0,0
9820483,1,mid,166.3,3.584101048,K00953.01,CONFIRMED,0.043652236461639404,,2608.1,False,0,0
5164255,1,mid,166.0,15.37562369,K00824.01,CONFIRMED,0.0071945032104849815,,15337.0,False,0,0
6678383,1,mid,165.5,11.427550984,K00111.01,CONFIRMED,0.1438007056713104,,500.9,False,0,0
10925104,1,mid,163.5,11.776132317,K00156.03,CONFIRMED,0.2307821810245514,,1430.8,False,0,0
8678594,1,mid,162.3,133.460999,K01261.01,CONFIRMED,0.03785858675837517,,5032.9,False,0,0
10910878,1,mid,161.9,16.06864674,K00757.01,CONFIRMED,0.1709019392728805,,4914.3,False,0,0
11122894,1,mid,161.5,74.92768653,K01426.02,CONFIRMED,0.2321766763925552,,4119.2,False,0,0
9450647,1,mid,161.4,9.940666412,K00110.01,CONFIRMED,0.0002940600388683,,520.2,False,0,0
6191521,1,mid,160.9,80.8723469,K00847.01,CONFIRMED,0.0188215654343366,,3604.6,False,0,0
9702072,1,mid,160.3,4.182001885,K00714.01,CONFIRMED,0.026664728298783302,,847.4,False,0,0
11017901,1,mid,159.2,7.794302043,K01800.01,CONFIRMED,4.5812688767910004e-05,,3387.4,False,0,0
7135852,1,mid,157.8,4.220965778,K00875.01,CONFIRMED,0.06503339111804962,,2260.0,False,0,0
6508221,1,mid,157.3,18.20795835,K00416.01,CONFIRMED,0.2235714048147201,,1596.9,False,0,0
7366258,1,mid,155.5,51.53997972,K00880.02,CONFIRMED,0.07435154914855957,,3644.3,False,0,0
9663113,1,mid,155.3,20.74028645,K00179.01,CONFIRMED,0.0728227272629737,,1023.3,False,0,0
5780460,1,mid,155.0,35.61760233,K01005.01,CONFIRMED,0.3689938187599182,,4634.9,False,0,0
8866102,1,mid,154.5,17.83367834,K00042.01,CONFIRMED,0.0630853772163391,,326.9,False,0,0
9157634,1,mid,153.3,2.104721971,K00526.01,CONFIRMED,0.0382654331624507,,905.5,False,0,0
8689031,1,low,49.9,21.80451611,K00920.01,CONFIRMED,0.2367143034934997,,1144.9,False,0,0
6587002,1,low,49.9,47.4277116,K00612.02,CONFIRMED,0.1120024770498275,,820.4,False,0,0
7755636,1,low,49.8,16.00496657,K01921.01,CONFIRMED,0.0001941572409123,,377.5,False,0,0
8826168,1,low,49.8,11.55103848,K01850.01,CONFIRMED,0.0017240395536646,,402.8,False,0,0
11100383,1,low,49.5,12.92489803,K00346.01,CONFIRMED,0.0138635961338877,,959.0,False,0,0
9631762,1,low,49.5,10.35586478,K00588.01,CONFIRMED,0.0067305485717952,,660.9,False,0,0
11030711,1,low,49.4,205.912735,K01429.01,CONFIRMED,0.020630497485399246,,2378.8,False,0,0
6184894,1,low,49.4,7.20281185,K05245.01,CONFIRMED,0.0003747139999177,,1832.6,False,0,0
10905746,1,low,49.2,9.8786461,K01725.01,CONFIRMED,0.4461786448955536,,1472.7,False,0,0
6276477,1,low,49.2,10.35533116,K00849.01,CONFIRMED,0.2035305947065353,,750.6,False,0,0
7629518,1,low,49.2,15.59466045,K01495.01,CONFIRMED,0.00280965375714,,867.7,False,0,0
10554999,1,low,49.1,6.400157105,K00534.01,CONFIRMED,0.0097893197089433,,743.2,False,0,0
3939150,1,low,49.1,17.32419108,K01215.01,CONFIRMED,0.0350009128451347,,241.3,False,0,0
9590976,1,low,49.0,5.37493289,K00710.01,CONFIRMED,0.003165004076436162,,155.8,False,0,0
9076513,1,low,49.0,2.437029217,K00583.01,CONFIRMED,0.03673461452126503,,244.0,False,0,0
5456651,1,low,48.9,11.76307164,K00835.01,CONFIRMED,0.0846161693334579,,1037.3,False,0,0
6690082,1,low,48.9,2.1395563,K01240.01,CONFIRMED,0.019718142226338387,,266.1,False,0,0
3634051,1,low,48.8,453.54212,K06103.01,CONFIRMED,0.07160281389951706,,861.0,False,0,0
10577994,1,low,48.7,8.1808949,K00475.01,CONFIRMED,0.014647162519395351,,723.5,False,0,0
10552611,1,low,48.7,7.0106324,K00338.01,CONFIRMED,0.013210756704211235,,327.3,False,0,0
9649706,1,low,48.7,1.569066598,K02049.01,CONFIRMED,0.0014836278278380632,,147.2,False,0,0
8733898,1,low,48.6,1.565412613,K02842.01,CONFIRMED,0.004095957148820162,,2754.6,False,0,0
7765528,1,low,48.6,7.03932913,K01840.01,CONFIRMED,0.00015859583800192922,,836.7,False,0,0
7455287,1,low,48.5,8.01078456,K00886.01,CONFIRMED,0.279376208782196,,1333.6,False,0,0
8367644,1,low,48.5,22.08551599,K01879.01,CONFIRMED,0.004141355399042368,,3157.4,False,0,0
6693640,1,low,48.3,13.71938426,K01245.01,CONFIRMED,0.07102027535438538,,316.4,False,0,0
10724369,1,low,48.3,55.6391882,K01302.01,CONFIRMED,0.007757159415632486,,853.0,False,0,0
12404086,1,low,48.2,26.39432897,K00788.01,CONFIRMED,0.2150256931781768,,1510.9,False,0,0
5438099,1,low,48.2,7.24022418,K01567.01,CONFIRMED,0.044081997126340866,,864.9,False,0,0
6838050,1,low,48.1,6.51003001,K00512.01,CONFIRMED,0.291585236787796,,602.8,False,0,0
7970760,0,fp,9054.7,7.64941291,K06943.01,FALSE POSITIVE,0.0731487870216369,,236246.0,False,0,0
10191056,0,fp,8755.2,1.21374744,K05774.01,FALSE POSITIVE,0.0071170879527926,,185129.0,False,0,0
9474969,0,fp,8616.1,21.570508432,K07178.01,FALSE POSITIVE,0.3840535581111908,,134176.0,False,0,0
5738698,0,fp,8577.4,2.404386969,K06134.01,FALSE POSITIVE,0.9501030445098876,,313168.0,False,1,1
